countryname,slug,canonicalNames,population,flightPrice,timeDifference,CurrencyRate,developmentStatus,visaType
Thailand,thailand,"['ASEAN', 'Bangkok', 'Pattaya', 'Krabi', 'Phuket', 'Chiang Mi', 'Phi Phi', 'Ko Samui']",65M people,"₹11,769.00",1 hr 30 min ahead,"Baht,100 INR = 42.89 THB",Developing,Visa Free
Turks and Caicos Islands,turks-and-caicos-islands,[''],31K people,"₹74,052.00",9 hrs 30 min behind,"US Dollar,100 INR = 1.21 USD",Developing,Visa Required
Cook Islands,cook-islands,[''],18K people,"₹52,338.00",15 hrs 30 min behind,"New Zealand Dollar,100 INR = 1.96 NZD",Developing,Visa Free
Micronesia,micronesia,[''],103K people,"₹101,604.00",4 hrs 30 min to 5 hrs 30 min ahead,"US Dollar,100 INR = 1.21 USD",Developing,Visa Free
Gambia,gambia,['Africa'],2M people,"₹41,298.00",5 hrs 30 min behind,"Dalasi,100 INR = 82.08 GMD",Least Developed,Visa Required
Senegal,senegal,"['Dakar', 'Africa']",15M people,"₹38,995.00",5 hrs 30 min behind,"West African CFA franc,100 INR = 3.27 XCD",Least Developed,Visa Free
Haiti,haiti,"['Caribbean', 'Ayiti', 'Port-au-Prince']",11M people,"₹76,847.00",10 hrs 30 min behind,"Gourde,100 INR = 160.05 HTG",Least Developed,Visa Free
Barbados,barbados,"['Caribbean', 'Bim', 'Bridgetown']",285K people,"₹71,278.00",9 hrs 30 min behind,"Barbados Dollar,100 INR = 2.44 BBD",Developing,Visa Free
Montserrat,montserrat,['Caribbean'],5K people,₹0.00,9 hrs 30 min behind,"East Caribbean Dollar,100 INR = 724.20 XOF",Developing,Visa Free
Saint Kitts and Nevis,saint-kitts-and-nevis,"['Caribbean', 'St Kitts and Nevis']",46K people,"₹75,700.00",9 hrs 30 min behind,"East Caribbean Dollar,100 INR = 724.20 XOF",Developing,Visa Free
British Virgin Islands,british-virgin-islands,['Caribbean'],29K people,"₹60,685.00",9 hrs 30 min behind,"US Dollar,100 INR = 1.21 USD",Developing,Visa Free
Jamaica,jamaica,['Caribbean'],3M people,"₹67,421.00",10 hrs 30 min behind,"Jamaican Dollar,100 INR = 187.34 JMD",Developing,Visa Free
Dominica,dominica,['Caribbean'],71K people,"₹79,092.00",9 hrs 30 min behind,"East Caribbean Dollar,100 INR = 724.20 XOF",Developing,Visa Free
Nepal,nepal,['Kathmandu'],28M people,"₹12,889.00",15 min ahead,"Nepalese Rupee,100 INR = 159.69 NPR",Least Developed,Visa Free
El Salvador,el-salvador,[''],7M people,"₹65,074.00",11 hrs 30 min behind,"El Salvador Colon,100 INR = 10.56 SVC",Developing,E-visa
Maldives,maldives,[''],344K people,"₹19,984.00",30 min behind,"Rufiyaa,100 INR = 18.61 MVR",Developing,Visa on Arrival
North Korea,north-korea,[''],25M people,₹0.00,3 hrs 30 min ahead,"North Korean Won,100 INR = 1652 KRW ",Developing,Visa Required
Saint Vincent and the Grenadines,saint-vincent-and-the-grenadines,['Caribbean'],110K people,"₹76,736.00",9 hrs 30 min behind,"East Caribbean Dollar,100 INR = 724.20 XOF",Developing,Visa Free
Mauritius,mauritius,['Africa'],1M people,"₹22,644.00",1 hr 30 min behind,"Mauritius Rupee,100 INR = 55.42 MUR",Developing,Visa Free
Trinidad and Tobago,trinidad-and-tobago,['Caribbean'],1M people,"₹71,513.00",9 hrs 30 min behind,"Trinidad and Tobago Dollar,100 INR = 8.20 TTD",Developing,Visa Free
Niue,niue,[''],1K people,"₹99,558.00",16 hrs 30 min behind,"New Zealand Dollar,100 INR = 1.96 NZD",Developing,Visa Required
Fiji,fiji,[''],867K people,"₹52,474.00",6 hrs 30 min ahead,"Fiji Dollar,100 INR = 2.69 FJD",Developing,Visa Free
